ligne;lettre_station;station;facilite_acces_code;facilite_acces;nombre_facilite_acces_station
;F;Félix Faure;white;comportant uniquement des escaliers et peu profonde;1
;F;Filles du Calvaire;white;comportant uniquement des escaliers et peu profonde;1
;F;Fort d'Aubervilliers;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;F;Franklin D. Roosevelt;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;G;Gabriel Péri;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;G;Gaîté;white;comportant uniquement des escaliers et peu profonde;1
;G;Gallieni;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;G;Gambetta;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
RER C;G;Gare d'Austerlitz;green;très facile d'accès (ascenseur ou plain-pied);3
METRO 10;G;Gare d'Austerlitz;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
METRO 5;G;Gare d'Austerlitz;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
METRO 4;G;Gare de l'Est;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
METRO 5;G;Gare de l'Est;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
TRAIN P;G;Gare de l'Est;green;très facile d'accès (ascenseur ou plain-pied);3
METRO 1;G;Gare de Lyon;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;5
METRO 14;G;Gare de Lyon;green;très facile d'accès (ascenseur ou plain-pied);5
RER A;G;Gare de Lyon;green;très facile d'accès (ascenseur ou plain-pied);5
TRAIN R;G;Gare de Lyon;green;très facile d'accès (ascenseur ou plain-pied);5
RER D;G;Gare de Lyon;green;très facile d'accès (ascenseur ou plain-pied);5
;G;Montparnasse Bienvenue;green;très facile d'accès (ascenseur ou plain-pied);1
;G;Gare Saint-Lazare;green;très facile d'accès (ascenseur ou plain-pied);1
;G;Garibaldi;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;G;Gaston Roulaud;green;très facile d'accès (ascenseur ou plain-pied);1
;G;Gennevilliers;green;très facile d'accès (ascenseur ou plain-pied);1
;G;Gentilly;green;très facile d'accès (ascenseur ou plain-pied);1
;G;Georges Brassens;green;très facile d'accès (ascenseur ou plain-pied);1
;G;George V;white;comportant uniquement des escaliers et peu profonde;1
;G;Germaine Tailleferre;green;très facile d'accès (ascenseur ou plain-pied);1
;G;Glacière;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;G;Goncourt;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;G;Grands Boulevards;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;G;Guy Môquet;white;comportant uniquement des escaliers et peu profonde;1
;H;Haussmann Saint-Lazare;green;très facile d'accès (ascenseur ou plain-pied);1
;H;Havre Caumartin;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;H;Henri Farmann;green;très facile d'accès (ascenseur ou plain-pied);1
;H;Hoche;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;H;Honoré de Balzac;green;très facile d'accès (ascenseur ou plain-pied);1
;H;Hôpital Avicenne;green;très facile d'accès (ascenseur ou plain-pied);1
;H;Hôpital Bicêtre;green;très facile d'accès (ascenseur ou plain-pied);1
